layer,phase_id,phase_label,event_id,event_name,event_date,event_week,event_family,event_anchor,expected_direction,hypothesis,source_url,window,pre_start,pre_end_exclusive,post_start,post_end_exclusive,n_obs_pre,n_obs_post,wallet_pct_shift_during_same_window,pre_window_truncated,post_window_truncated,post_window_crosses_luna,analysis_universe,analysis_universe_label,pre_sales_sum,pre_count_sum,pre_user_weeks_sum,pre_source_rows,post_sales_sum,post_count_sum,post_user_weeks_sum,post_source_rows,support_ok,share_of_wallet_pre,share_of_wallet_post,share_of_wallet_diff,share_of_wallet_pct_change,sales_per_active_user_pre,sales_per_active_user_post,sales_per_active_user_diff,sales_per_active_user_pct_change,count_per_active_user_pre,count_per_active_user_post,count_per_active_user_diff,count_per_active_user_pct_change,active_subcat_user_proxy_pre,active_subcat_user_proxy_post,active_subcat_user_proxy_diff,active_subcat_user_proxy_pct_change
universe,treasury_crypto_casspr_consultation_2022_2w,Treasury crypto CASSPr licensing consultation +/-2w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,2,2022-03-07,2022-03-21,2022-03-21,2022-04-04,2,2,0.0363765285045368,False,False,False,all_crypto_like,All crypto-like rows,930539.3799999999,2607.0,1668.0,56,799837.1699999999,2604.0,1643.0,52,True,0.0007687976345692713,0.0006311962322348223,-0.00013760140233444896,-0.17898260367507754,2.039288483445393,1.7347988154312501,-0.3044896680141429,-0.14931171851650207,0.005712772856997601,0.00565307689924042,-5.969595775718109e-05,-0.0104495591285516,0.003654808222180523,0.0035665189264615705,-8.828929571895244e-05,-0.024157025581571415
universe,treasury_crypto_casspr_consultation_2022_2w,Treasury crypto CASSPr licensing consultation +/-2w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,2,2022-03-07,2022-03-21,2022-03-21,2022-04-04,2,2,0.0363765285045368,False,False,False,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,687224.0700000001,1726.0,1142.0,54,651292.49,2019.0,1279.0,50,True,0.0005667606594973781,0.0005134274509465927,-5.333320855078539e-05,-0.09410181821385244,1.5059335415406632,1.4122477797427522,-0.093685761797911,-0.06221108648796325,0.003782208026730194,0.004382598550828744,0.0006003905240985503,0.15874074610792938,0.002502266398599521,0.0027759788383729007,0.0002737124397733798,0.10938581116965497
universe,treasury_crypto_casspr_consultation_2022_2w,Treasury crypto CASSPr licensing consultation +/-2w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,2,2022-03-07,2022-03-21,2022-03-21,2022-04-04,2,2,0.0363765285045368,False,False,False,primary_crypto_services,Primary crypto services,243315.31,881.0,526.0,2,148544.68,585.0,364.0,2,True,0.00020203697507189324,0.0001177687812882296,-8.426819378366364e-05,-0.4170929294188723,0.53335494190473,0.3225510356884981,-0.2108039062162319,-0.3952413105302895,0.0019305648302674065,0.0012704783484116754,-0.0006600864818557311,-0.34191365734363927,0.0011525418235810024,0.0007905400880886698,-0.00036200173549233265,-0.31408989078381205
universe,treasury_crypto_casspr_consultation_2022_4w,Treasury crypto CASSPr licensing consultation +/-4w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,4,2022-02-21,2022-03-21,2022-03-21,2022-04-18,4,4,-0.04254623641610206,False,False,False,all_crypto_like,All crypto-like rows,2012842.93,5569.0,3596.0,109,1587878.57,5053.0,3219.0,103,True,0.000801157993020014,0.0006605677460091944,-0.00014059024701081958,-0.17548379749773954,2.1906049682826514,1.734794876866892,-0.45581009141575946,-0.20807498294550877,0.006067101073203229,0.005520545499505849,-0.0005465555736973802,-0.0900851274938159,0.003915606573766109,0.0035169139994676545,-0.00039869257429845425,-0.10182140794471692
universe,treasury_crypto_casspr_consultation_2022_4w,Treasury crypto CASSPr licensing consultation +/-4w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,4,2022-02-21,2022-03-21,2022-03-21,2022-04-18,4,4,-0.04254623641610206,False,False,False,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,1415984.1800000002,3800.0,2491.0,105,1346811.8399999999,3980.0,2550.0,99,True,0.0005664376551638089,0.0005610664254993013,-5.371229664507572e-06,-0.009482472811512255,1.5424969489143947,1.4716588282213399,-0.07083812069305484,-0.04592431819259709,0.004140200909738331,0.004348465575482253,0.00020826466574392234,0.050303033665360236,0.002712529394867517,0.0027861235416298544,7.359414676233727e-05,0.027131188661618795
universe,treasury_crypto_casspr_consultation_2022_4w,Treasury crypto CASSPr licensing consultation +/-4w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,4,2022-02-21,2022-03-21,2022-03-21,2022-04-18,4,4,-0.04254623641610206,False,False,False,primary_crypto_services,Primary crypto services,596858.75,1769.0,1105.0,4,241066.72999999998,1073.0,669.0,4,True,0.00023472033785620517,9.950132050989303e-05,-0.00013521901734631214,-0.5760856455018835,0.6481080193682568,0.2631360486455519,-0.3849719707227049,-0.5939935307357503,0.0019269001634648975,0.0011720799240235954,-0.0007548202394413021,-0.39172773647182924,0.0012030771788985916,0.0007307904578377999,-0.0004722867210607916,-0.39256560538632
universe,treasury_crypto_casspr_consultation_2022_8w,Treasury crypto CASSPr licensing consultation +/-8w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,8,2022-01-24,2022-03-21,2022-03-21,2022-05-16,8,8,0.07612928718192326,False,False,True,all_crypto_like,All crypto-like rows,4517622.29,12600.0,8192.0,224,3523940.95,11635.0,7008.0,215,True,0.0009836742515472391,0.000697374675873014,-0.00028629957567422515,-0.29105120442453314,2.460524852671522,1.9587835008220478,-0.5017413518494744,-0.20391639259595662,0.006865893420617801,0.006463783436920164,-0.0004021099836976367,-0.05856630143575028,0.004462700296188579,0.0038894745199817456,-0.0005732257762068333,-0.12844819014541564
universe,treasury_crypto_casspr_consultation_2022_8w,Treasury crypto CASSPr licensing consultation +/-8w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,8,2022-01-24,2022-03-21,2022-03-21,2022-05-16,8,8,0.07612928718192326,False,False,True,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,3023314.75,8713.0,5673.0,216,3034270.26,9178.0,5545.0,207,True,0.00066027564278578,0.000600360689880991,-5.9914952904789034e-05,-0.09074233399251387,1.6476149226861192,1.687191377732156,0.03957645504603691,0.024020451927878335,0.004748004262314383,0.005099881668420065,0.00035187740610568164,0.07411059187511372,0.0030904359891907648,0.003077631010475532,-1.280497871523293e-05,-0.004143421433098808
universe,treasury_crypto_casspr_consultation_2022_8w,Treasury crypto CASSPr licensing consultation +/-8w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,8,2022-01-24,2022-03-21,2022-03-21,2022-05-16,8,8,0.07612928718192326,False,False,True,primary_crypto_services,Primary crypto services,1494307.54,3887.0,2519.0,8,489670.69000000006,2457.0,1463.0,8,True,0.0003233986087614591,9.701398599202304e-05,-0.00022638462276943608,-0.7000173056910669,0.8129099299854026,0.27159212308989156,-0.541317806895511,-0.6659013341185677,0.002117889158303418,0.0013639017685000993,-0.0007539873898033188,-0.35600890011038966,0.0013722643069978147,0.0008118435095062137,-0.000560420797491601,-0.40839129505427957
universe,treasury_crypto_casspr_consultation_2022_12w,Treasury crypto CASSPr licensing consultation +/-12w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,12,2021-12-27,2022-03-21,2022-03-21,2022-06-13,12,12,0.20609159250032646,False,False,True,all_crypto_like,All crypto-like rows,7444016.33,19924.0,12911.0,340,5017554.61,17363.0,10396.0,311,True,0.0011790317435129382,0.000635514469375628,-0.0005435172741373102,-0.4609861245278218,2.7063767107624876,1.8671870916386706,-0.8391896191238171,-0.31007864344479447,0.007244694075495183,0.006462539251004829,-0.0007821548244903546,-0.10796243655559651,0.004693851731517643,0.003866464814121848,-0.000827386917395795,-0.1762703563557768
